[21:49:42.928]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:43.963]   info   [GS]       Skipped 9 duplicate messages..
[21:49:43.963]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:45.003]   info   [GS]       Skipped 9 duplicate messages..
[21:49:45.003]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:46.044]   info   [GS]       Skipped 9 duplicate messages..
[21:49:46.044]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:47.083]   info   [GS]       Skipped 9 duplicate messages..
[21:49:47.083]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:48.117]   info   [GS]       Skipped 9 duplicate messages..
[21:49:48.117]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:49.160]   info   [GS]       Skipped 9 duplicate messages..
[21:49:49.159]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:50.199]   info   [GS]       Skipped 9 duplicate messages..
[21:49:50.199]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:51.234]   info   [GS]       Skipped 9 duplicate messages..
[21:49:51.234]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:52.274]   info   [GS]       Skipped 9 duplicate messages..
[21:49:52.274]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:53.309]   info   [GS]       Skipped 9 duplicate messages..
[21:49:53.308]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:54.348]   info   [GS]       Skipped 9 duplicate messages..
[21:49:54.348]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:55.389]   info   [GS]       Skipped 9 duplicate messages..
[21:49:55.389]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:56.423]   info   [GS]       Skipped 9 duplicate messages..
[21:49:56.423]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:57.452]   info   [GS]       Skipped 9 duplicate messages..
[21:49:57.452]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:58.487]   info   [GS]       Skipped 9 duplicate messages..
[21:49:58.487]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:49:59.529]   info   [GS]       Skipped 9 duplicate messages..
[21:49:59.529]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:00.565]   info   [GS]       Skipped 9 duplicate messages..
[21:50:00.565]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:01.606]   info   [GS]       Skipped 9 duplicate messages..
[21:50:01.606]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:02.646]   info   [GS]       Skipped 9 duplicate messages..
[21:50:02.646]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:03.682]   info   [GS]       Skipped 9 duplicate messages..
[21:50:03.682]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:04.709]   info   [GS]       Skipped 9 duplicate messages..
[21:50:04.709]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:05.740]   info   [GS]       Skipped 9 duplicate messages..
[21:50:05.740]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:06.775]   info   [GS]       Skipped 9 duplicate messages..
[21:50:06.775]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:07.818]   info   [GS]       Skipped 9 duplicate messages..
[21:50:07.818]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:08.856]   info   [GS]       Skipped 9 duplicate messages..
[21:50:08.856]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:09.896]   info   [GS]       Skipped 9 duplicate messages..
[21:50:09.896]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:10.933]   info   [GS]       Skipped 9 duplicate messages..
[21:50:10.932]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:11.978]   info   [GS]       Skipped 9 duplicate messages..
[21:50:11.978]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:13.012]   info   [GS]       Skipped 9 duplicate messages..
[21:50:13.012]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:14.053]   info   [GS]       Skipped 9 duplicate messages..
